time,theta,theta_ref,tau_out,tau1,tau2,q1,q2,dq1,dq2,z
18.726,-4.834607689680262e-06,0.0,1.918520843851883e-05,0.0009625650790294168,-0.00035512939279695754,-0.2470088373686655,0.15147985307779194,0.019557918050412317,-0.011994028887079908,-0.027705212899435835
18.728,-4.83384259323226e-06,0.0,1.9182170718108792e-05,0.0009624126725597964,-0.00035507316453841834,-0.24696972772585665,0.15145586881817943,0.019554821404420154,-0.011992129806250317,-0.027700826250566288
18.73,-4.833077611208353e-06,0.0,1.9179133479889763e-05,0.0009622602902330329,-0.00035501694517499365,-0.2469306242753598,0.15143188835612614,0.01955172524842256,-0.011990231026645311,-0.027696440296248133
18.732,-4.832312743709155e-06,0.0,1.9176096723765798e-05,0.0009621079320451307,-0.00035496073470540717,-0.2468915270161951,0.15140791169102974,0.01954862958234736,-0.01198833254820773,-0.02769205503637139
18.734,-4.831547990831811e-06,0.0,1.9173060449635827e-05,0.000961955597991987,-0.00035490453312838764,-0.24685243594738285,0.15138393882228798,0.01954553440612228,-0.011986434370880593,-0.0276876704708261
18.736,-4.83078335267173e-06,0.0,1.9170024657400502e-05,0.0009618032880695435,-0.0003548483404426591,-0.2468133510679435,0.15135996974929877,0.019542439719674967,-0.011984536494607088,-0.027683286599502335
18.738,-4.830018829324323e-06,0.0,1.916698934696898e-05,0.0009616510022738924,-0.00035479215664694096,-0.24677427237689764,0.15133600447146012,0.019539345522932995,-0.011982638919330579,-0.027678903422290166
18.740000000000002,-4.829254420883264e-06,0.0,1.916395451825179e-05,0.0009614987406011351,-0.00035473598173993865,-0.246735199873266,0.15131204298817014,0.019536251815823892,-0.011980741644994587,-0.027674520939079687
18.742,-4.8284901274335545e-06,0.0,1.9160920171132852e-05,0.0009613465030468848,-0.0003546798157203848,-0.24669613355606945,0.15128808529882706,0.01953315859827503,-0.011978844671542806,-0.027670139149761016
18.744,-4.827725949067135e-06,0.0,1.9157886305532025e-05,0.0009611942896074271,-0.0003546236585869861,-0.24665707342432902,0.15126413140282924,0.019530065870213765,-0.011976947998919088,-0.027665758054224276
